,name,release_year,length,movie_rate,rating
51,52. Once Upon a Time in the West,1968,2h 46m,PG-13,8.5 (347K)
52,53. Alien,1979,1h 57m,R,8.5 (943K)
53,54. City Lights,1931,1h 27m,G,8.5 (195K)
54,55. 12th Fail,2023,2h 27m,,9.1 (102K)
55,56. Apocalypse Now,1979,2h 27m,R,8.4 (706K)
56,57. Django Unchained,2012,2h 45m,R,8.5 (1.7M)
57,58. Memento,2000,1h 53m,R,8.4 (1.3M)
58,59. WALL·E,2008,1h 38m,G,8.4 (1.2M)
59,60. Raiders of the Lost Ark,1981,1h 55m,PG,8.4 (1M)
60,61. The Lives of Others,2006,2h 17m,R,8.4 (408K)
61,62. Sunset Blvd.,1950,1h 50m,Passed,8.4 (235K)
62,63. Paths of Glory,1957,1h 28m,Approved,8.4 (211K)
63,64. Avengers: Infinity War,2018,2h 29m,PG-13,8.4 (1.2M)
64,65. Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4 (662K)
65,66. The Shining,1980,2h 26m,R,8.4 (1.1M)
66,67. Witness for the Prosecution,1957,1h 56m,Approved,8.4 (137K)
67,68. The Great Dictator,1940,2h 5m,G,8.4 (236K)
68,69. Aliens,1986,2h 17m,R,8.4 (758K)
69,70. Inglourious Basterds,2009,2h 33m,R,8.4 (1.6M)
70,71. The Dark Knight Rises,2012,2h 44m,PG-13,8.4 (1.8M)
71,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.4 (515K)
72,73. American Beauty,1999,2h 2m,R,8.3 (1.2M)
73,74. Oldboy,2003,2h,R,8.3 (630K)
74,75. Coco,2017,1h 45m,PG,8.4 (583K)
75,76. Amadeus,1984,2h 40m,PG,8.4 (425K)
76,77. Toy Story,1995,1h 21m,G,8.3 (1.1M)
77,78. The Boat,1981,2h 29m,,8.4 (263K)
78,79. Braveheart,1995,2h 58m,R,8.3 (1.1M)
79,80. Avengers: Endgame,2019,3h 1m,PG-13,8.4 (1.3M)
80,81. Joker,2019,2h 2m,R,8.4 (1.5M)
81,82. Princess Mononoke,1997,2h 14m,PG-13,8.3 (430K)
82,83. Good Will Hunting,1997,2h 6m,R,8.3 (1.1M)
83,84. Your Name.,2016,1h 46m,TV-PG,8.4 (315K)
84,85. Oppenheimer,2023,3h,R,8.4 (663K)
85,86. Once Upon a Time in America,1984,3h 49m,R,8.3 (375K)
86,87. High and Low,1963,2h 23m,Not Rated,8.4 (52K)
87,88. 3 Idiots,2009,2h 50m,PG-13,8.4 (431K)
88,89. Singin' in the Rain,1952,1h 43m,G,8.3 (259K)
89,90. Capernaum,2018,2h 6m,R,8.4 (104K)
90,91. Requiem for a Dream,2000,1h 42m,Unrated,8.3 (893K)
91,92. Come and See,1985,2h 22m,Not Rated,8.4 (95K)
92,93. Toy Story 3,2010,1h 43m,G,8.3 (887K)
93,94. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3 (1.1M)
94,95. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3 (1.1M)
95,96. The Hunt,2012,1h 55m,R,8.3 (361K)
96,97. 2001: A Space Odyssey,1968,2h 29m,G,8.3 (715K)
97,98. Reservoir Dogs,1992,1h 39m,R,8.3 (1.1M)
98,99. Ikiru,1952,2h 23m,Not Rated,8.3 (87K)
99,100. Lawrence of Arabia,1962,3h 38m,Approved,8.3 (312K)
100,101. The Apartment,1960,2h 5m,Approved,8.3 (195K)
101,102. North by Northwest,1959,2h 16m,Approved,8.3 (344K)
102,103. Citizen Kane,1941,1h 59m,PG,8.3 (464K)
103,104. M,1931,1h 39m,Passed,8.3 (167K)
104,105. Vertigo,1958,2h 8m,PG,8.3 (425K)
105,106. Double Indemnity,1944,1h 47m,Passed,8.3 (167K)
106,107. Scarface,1983,2h 50m,18+,8.3 (909K)
107,108. Incendies,2010,2h 11m,R,8.3 (197K)
108,109. Amélie,2001,2h 2m,R,8.3 (791K)
109,110. Full Metal Jacket,1987,1h 56m,R,8.3 (786K)
110,111. A Clockwork Orange,1971,2h 16m,X,8.3 (877K)
111,112. Heat,1995,2h 50m,R,8.3 (714K)
112,113. Up,2009,1h 36m,PG,8.3 (1.1M)
113,114. To Kill a Mockingbird,1962,2h 9m,Approved,8.3 (331K)
114,115. The Sting,1973,2h 9m,PG,8.3 (278K)
115,116. A Separation,2011,2h 3m,PG-13,8.3 (257K)
116,117. Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2 (807K)
117,118. Die Hard,1988,2h 12m,R,8.2 (940K)
118,119. Metropolis,1927,2h 33m,Not Rated,8.3 (184K)
119,120. Hamilton,2020,2h 40m,PG-13,8.3 (112K)
120,121. Like Stars on Earth,2007,2h 42m,PG,8.3 (206K)
121,122. Snatch,2000,1h 42m,R,8.2 (904K)
